date,open,close,9M_minus_1M,factor_ma,factor_prev,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav,ret_cc
2025-09-26,5808.4784,5760.8978,0.120000000000001,0.33599999999999997,-0.6099999999999988,-1,-1,1,2,0.0006,-0.012646947278093078,-0.012046947278093079,1.231791000722967,2.1702988412285324,-0.012046947278093079
2025-09-29,5768.0079,5840.4498,0.41999999999999815,0.4559999999999995,-0.07599999999999837,-1,-1,-1,0,0.0,-0.01380895873556387,0.01380895873556387,1.2488007518227895,2.1403292740861657,0.01380895873556387
2025-09-30,5855.9819,5875.4607,0.9100000000000001,0.5740000000000002,0.20600000000000093,-1,-1,-1,0,0.0,-0.005994555419344572,0.005994555419344572,1.2562867571373104,2.1274989516370106,0.005994555419344572
2025-10-09,5907.3329,5952.8519,3.16,1.1159999999999997,0.48000000000000115,-1,-1,-1,0,0.0,-0.013171937308677828,0.013171937308677828,1.2728344875440452,2.09947566882177,0.013171937308677828
2025-10-10,5921.2228,5855.6487,2.879999999999999,1.4979999999999998,0.6160000000000011,-1,-1,-1,0,0.0,0.016328845674793313,-0.016328845674793313,1.2520505696273838,2.1337576830159444,-0.016328845674793313
2025-10-13,5663.3801,5833.9572,2.0299999999999976,1.879999999999999,0.9800000000000011,-1,-1,-1,0,0.0,0.0037043718145182147,-0.0037043718145182147,1.2474125087869046,2.1416619148359204,-0.0037043718145182147
2025-10-14,5880.2463,5741.3317,2.3999999999999986,2.275999999999999,1.056000000000001,-1,-1,-1,0,0.0,0.01587695912476017,-0.01587695912476017,1.2276073913731804,2.1756649935168255,-0.01587695912476017
2025-10-15,5748.1759,5826.4868,3.5,2.793999999999999,1.2140000000000009,-1,-1,-1,0,0.0,-0.014831942212988558,0.014831942212988558,1.245815193262265,2.143395656058162,0.014831942212988558
2025-10-16,5807.5838,5800.591,3.880000000000001,2.9379999999999993,1.4620000000000004,-1,-1,-1,0,0.0,0.004444496467407966,-0.004444496467407966,1.2402781720367677,2.15292197047977,-0.004444496467407966
2025-10-17,5793.6619,5652.4627,2.4300000000000033,2.848,1.5480000000000005,-1,-1,-1,0,0.0,0.02553675996118332,-0.02553675996118332,1.2086054860723696,2.2079006220550697,-0.02553675996118332
2025-10-20,5710.0,5697.1596,3.1099999999999994,3.0640000000000005,1.3560000000000003,-1,-1,-1,0,0.0,-0.007907509057954565,0.007907509057954565,1.2181625449009805,2.1904416278871057,0.007907509057954565
2025-10-21,5715.5824,5788.8328,3.8000000000000007,3.344000000000001,1.0660000000000003,-1,-1,-1,0,0.0,-0.016091035961148137,0.016091035961148137,1.237764042217506,2.1551951528819786,0.016091035961148137
2025-10-22,5754.0856,5764.9285,3.2600000000000016,3.2960000000000007,0.6500000000000007,-1,-1,-1,0,0.0,0.004129381660496367,-0.004129381660496367,1.2326528420815512,2.1640947762210803,-0.004129381660496367
2025-10-23,5748.4904,5772.7822,2.9899999999999984,3.1180000000000008,-0.039999999999999855,-1,-1,-1,0,0.0,-0.0013623239212767757,0.0013623239212767757,1.2343321145349488,2.1611465781395243,0.0013623239212767757
2025-10-24,5793.7267,5842.5729,3.4999999999999982,3.3319999999999994,-0.3780000000000001,-1,-1,-1,0,0.0,-0.01208961252686791,0.01208961252686791,1.249254711529146,2.1350191533960508,0.01208961252686791
2025-10-27,5891.0671,5913.0717,3.2300000000000004,3.3560000000000003,-0.618,-1,-1,-1,0,0.0,-0.012066396296056547,0.012066396296056547,1.2643287139531725,2.1092571661915027,0.012066396296056547
2025-10-28,5890.5511,5893.1369,3.129999999999999,3.222,-0.7200000000000003,-1,-1,-1,0,0.0,0.0033713103800179223,-0.0033713103800179223,1.2600662694360674,2.1163681267700114,-0.0033713103800179223
2025-10-29,5899.0342,5961.1939,3.1999999999999993,3.2099999999999995,-0.5600000000000008,-1,-1,-1,0,0.0,-0.011548518413003306,0.011548518413003306,1.2746181679502542,2.0919272104893145,0.011548518413003306
2025-10-30,5947.6288,5898.9039,3.3599999999999994,3.283999999999999,-0.18599999999999994,-1,-1,-1,0,0.0,0.010449249100922597,-0.010449249100922597,1.2612993652047804,2.1137862790127153,-0.010449249100922597
