date,open,close,total_mv,small_amount,small_full_ratio,factor_ma,z,signal_raw,pos,pos_prev,turnover_units,cost,strat_ret,index_ret,index_nav,strat_nav
2024-12-09,4954.8346,4940.2434,98349018700632.0,212121027.88,2.156818956431915e-06,2.270607729768441e-06,-2.1427920848168984,-1,-1,-1,0,0.0,0.0032937299975043244,-0.0032937299975043244,0.8648606756214327,1.677373462470042
2024-12-10,5092.824,4977.8273,99013281067102.0,272109749.41999996,2.748214648452961e-06,2.2508928508783495e-06,-1.9518893690904948,-1,-1,-1,0,0.0,-0.007607702082047085,0.007607702082047085,0.8714402779840384,1.6646125048872382
2024-12-11,4964.1371,5006.7038,99331339822516.0,228409668.53,2.299472341137445e-06,2.2401777648087835e-06,-1.7718434103127862,-1,-1,-1,0,0.0,-0.005801024876857408,0.005801024876857408,0.8764955247153194,1.6549560463360595
2024-12-12,5006.4067,5053.0301,100261332231271.0,240230770.22,2.3960460615650312e-06,2.2413980461445412e-06,-1.5766986365955944,-1,-1,-1,0,0.0,-0.00925285414327881,0.00925285414327881,0.884605609962747,1.6396429794257745
2024-12-13,5020.2497,4947.3916,98337732385825.0,265572785.49,2.7006193761722463e-06,2.255643365566856e-06,-1.342353388793182,-1,-1,-1,0,0.0,0.020905970854992573,-0.020905970854992573,0.8661120708627028,1.673921307766243
2024-12-16,4945.7668,4908.6131,99132808203247.0,221366066.29000002,2.2330252749033835e-06,2.249166797722232e-06,-1.2569417981757802,-1,-1,-1,0,0.0,0.007838170724144944,-0.007838170724144944,0.8593233365850382,1.6870417887552989
2024-12-17,4898.8903,4845.4406,98159851637825.0,200407888.72,2.0416482439219037e-06,2.2457583573632918e-06,-1.16370415196268,-1,-1,-1,0,0.0,0.0128697248516082,-0.0128697248516082,0.8482640816846229,1.7087535523897446
2024-12-18,4855.3724,4875.9903,98786791714736.0,179457081.66000003,1.8166100806088884e-06,2.2288752978058807e-06,-1.1627636569881126,-1,-1,-1,0,0.0,-0.006304834280705052,0.006304834280705052,0.8536122461459189,1.6979801444153613
2024-12-19,4829.8047,4880.2662,98677784927720.0,187665993.91000003,1.9018059034002695e-06,2.2168629887068053e-06,-1.1419707951316809,-1,-1,-1,0,0.0,-0.0008769295541870559,0.0008769295541870559,0.8543608039523802,1.6964911354443006
2024-12-20,4870.1158,4891.5437,98757116950439.0,194594306.51,1.9704332459164096e-06,2.1925481540251693e-06,-1.2212090642614393,-1,-1,-1,0,0.0,-0.0023108370604865147,0.0023108370604865147,0.8563350925611805,1.692570820855729
2024-12-23,4888.8202,4812.5008,97910667234664.0,201662204.97,2.0596550985264262e-06,2.1913925315983568e-06,-1.153071431057366,-1,-1,-1,0,0.0,0.016159091045225726,-0.016159091045225726,0.8424974958352626,1.7199212268504291
2024-12-24,4818.2239,4867.7269,99125121650306.0,174014849.32,1.7555070442575625e-06,2.186133243866466e-06,-1.1170281709995729,-1,-1,-1,0,0.0,-0.011475551339129142,0.011475551339129142,0.8521656191018079,1.700184182512449
2024-12-25,4867.1729,4829.7585,98800164319786.03,171060825.87,1.7313819976688321e-06,2.170794824515119e-06,-1.1780547474360508,-1,-1,-1,0,0.0,0.007800026743488786,-0.007800026743488786,0.8455187044829321,1.7134456646049028
2024-12-26,4822.564,4857.7445,99075884904012.97,166083824.85000002,1.67632946211791e-06,2.1514079785526587e-06,-1.2786919513490975,-1,-1,-1,0,0.0,-0.005794492623181879,0.005794492623181879,0.8504180563788207,1.7035171163411267
2024-12-27,4859.2264,4864.1813,99175527074403.0,186096255.35,1.8764332375101746e-06,2.129821039308749e-06,-1.4037803772461872,-1,-1,-1,0,0.0,-0.0013250593974221125,0.0013250593974221125,0.8515449108161629,1.7012598549774494
2024-12-30,4856.4016,4859.7909,99289620046534.0,169036449.63,1.7024584196291395e-06,2.0966061817561373e-06,-1.6976022394679466,-1,-1,-1,0,0.0,0.0009025979356485081,-0.0009025979356485081,0.8507763081375482,1.7027954086105537
2024-12-31,4860.1946,4750.6735,97501137228195.97,178897854.19,1.834828385347953e-06,2.073866469932331e-06,-1.8988151831847442,-1,-1,-1,0,0.0,0.02245310595564931,-0.02245310595564931,0.8316737375463797,1.7410284543408794
2025-01-02,4744.6453,4625.1118,94920497165559.97,187965736.88,1.9802439145693776e-06,2.0610625540486095e-06,-1.9507956889452434,-1,-1,-1,0,0.0,0.02643029456770718,-0.02643029456770718,0.8096923556788029,1.7870443492398687
2025-01-03,4632.2882,4523.1235,93203126027428.0,174140838.91,1.8684012686307699e-06,2.0541730877203245e-06,-1.8764280034463536,-1,-1,-1,0,0.0,0.02205099128630794,-0.02205099128630794,0.7918378365991395,1.8264504486132027
2025-01-06,4516.6645,4509.931,92937446010898.97,148409598.63,1.596876232348753e-06,2.0173404596558674e-06,-2.074504205402582,-1,-1,-1,0,0.0,0.002916679148822765,-0.002916679148822765,0.7895282996918819,1.831777618553031
2025-01-07,4506.7001,4567.6093,93889444970018.0,147233756.26,1.568160897180898e-06,1.9879075566933167e-06,-2.082785723323995,-1,-1,-1,0,0.0,-0.012789175710227196,0.012789175710227196,0.7996257158448382,1.8083506927272948
2025-01-08,4548.8242,4559.0358,93879815582985.0,170771308.13,1.819041793696823e-06,1.9414489139555095e-06,-2.1878066197603068,-1,-1,-1,0,0.0,0.0018770213117834667,-0.0018770213117834667,0.7981248013347474,1.8117450055167221
2025-01-09,4541.988,4558.5117,93574129589335.0,150691011.2,1.610391802321128e-06,1.9069948870146942e-06,-2.1307080852008893,-1,-1,-1,0,0.0,0.00011495851820242375,-0.00011495851820242375,0.7980330500902454,1.811953281037917
