date,close,net_top20,factor_ma,z,signal_raw,pos,ret,strat_ret,index_nav,strat_nav
2018-01-08,5038.7626,-5588,-5876.4,-0.9781708127729102,0,-1,0.003639664871735615,-0.003639664871735615,0.9772581185775794,0.9214374917157211
2018-01-09,5054.532,-5814,-5765.2,-0.8907561709817653,0,0,0.0031296175771409196,-0.0034296175771409195,0.9803165627628835,0.9182773134978962
2018-01-10,5049.199,-5136,-5592.4,-0.7610251310716571,0,0,-0.0010550927365778895,-0.0,0.9792822378779653,0.9182773134978962
2018-01-11,5058.4504,-5508,-5521.2,-0.6992044775775932,0,0,0.0018322510164483496,0.0,0.981076528753707,0.9182773134978962
2018-01-12,5057.9085,-5128,-5434.8,-0.6265248637602527,0,0,-0.00010712766897946757,-0.0,0.9809714283120912,0.9182773134978962
2018-01-15,4996.0638,-4934,-5304.0,-0.5232720907598856,0,0,-0.01222732676955296,-0.0,0.9689767701065242,0.9182773134978962
2018-01-16,5030.0606,-5238,-5188.8,-0.4324751994790063,0,0,0.0068047169453679945,0.0,0.975570382753736,0.9182773134978962
2018-01-17,5016.003,-5312,-5224.0,-0.44824021775958633,0,0,-0.0027947178210934176,-0.0,0.9728439388193232,0.9182773134978962
2018-01-18,5035.3357,-5474,-5217.2,-0.4349926315156122,0,0,0.003854204233928904,0.0,0.9765934780472727,0.9182773134978962
2018-01-19,5036.9905,-5608,-5313.2,-0.49419139671551826,0,0,0.0003286374729694064,0.0,0.9769144232600165,0.9182773134978962
2018-01-22,5091.0019,-5654,-5457.2,-0.5862484677086484,0,0,0.010722950539612919,0.0,0.9873898283020682,0.9182773134978962
2018-01-23,5121.1896,-6448,-5699.2,-0.7447539961070405,0,0,0.005929618686647764,0.0,0.993244673478974,0.9182773134978962
2018-01-24,5139.4902,-6380,-5912.8,-0.8809101508083129,0,0,0.003573505655795284,0.0,0.9967940389372397,0.9182773134978962
2018-01-25,5120.394,-6442,-6106.4,-1.0002515852095595,-1,0,-0.003715582529955963,-0.0,0.9930903684202003,0.9182773134978962
2018-01-26,5126.6116,-6826,-6350.0,-1.1512663190383958,-1,-1,0.0012142815572395715,-0.0003,0.9942962597392452,0.9180018303038469
2018-01-29,5048.6675,-6338,-6486.8,-1.2253951484550294,-1,-1,-0.01520382390583297,0.01520382390583297,0.9791791544959413,0.9319589684770189
2018-01-30,5017.2049,-7218,-6640.8,-1.3090322602531852,-1,-1,-0.006231862169572389,0.006231862169572389,0.9730770449658042,0.9377668083162644
2018-01-31,4974.3453,-7386,-6842.0,-1.4214622888631006,-1,-1,-0.008542525341151519,0.008542525341151519,0.9647645096502909,0.9457777050403968
2018-02-01,4864.457,-7984,-7150.4,-1.6001890649126147,-1,-1,-0.022091007634713167,0.022091007634713167,0.9434518895019061,0.9666708875431858
2018-02-02,4874.8097,-7910,-7367.2,-1.7095276759029843,-1,-1,0.002128233428725812,-0.002128233428725812,0.9454597753515386,0.9646135862457403
2018-02-05,4868.8127,-8574,-7814.4,-1.958886836549869,-1,-1,-0.0012302018681876747,0.0012302018681876747,0.9442966689696048,0.965800255681619
2018-02-06,4680.8287,-7674,-7905.6,-1.9680259639656754,-1,-1,-0.038609823705068824,0.038609823705068824,0.9078375410554047,1.0030896332877965
2018-02-07,4627.0953,-7740,-7976.4,-1.96432599288918,-1,-1,-0.011479463027561754,0.011479463027561754,0.8974160535678266,1.0146045636464542
2018-02-08,4629.5397,-7158,-7811.2,-1.816474151354936,-1,-1,0.0005282795882766145,-0.0005282795882766145,0.8978901401511182,1.0140685687653075
2018-02-09,4457.4559,-6808,-7590.8,-1.6419510043800103,-1,-1,-0.03717082283579953,0.03717082283579953,0.8645148248255498,1.0517623318782356
2018-02-12,4540.006,-6550,-7186.0,-1.360570275015797,-1,-1,0.018519555067275206,-0.018519555067275206,0.8805252547303823,1.0322841614553309
2018-02-13,4574.791,-6148,-6880.8,-1.1480840250309035,-1,-1,0.007661884147289744,-0.007661884147289744,0.8872717372208894,1.024374919803178
2018-02-14,4600.6075,-5660,-6464.8,-0.8711373689992351,0,-1,0.005643208618710593,-0.005643208618710593,0.8922787967355126,1.0185941584269538
2018-02-22,4692.0328,-3800,-5793.2,-0.43784781457578276,0,0,0.019872440759182375,-0.020172440759182377,0.9100105542643135,0.9980466281084368
2018-02-23,4709.7266,-3652,-5162.0,-0.03222912374971099,0,0,0.003771030756647642,0.0,0.9134422320533182,0.9980466281084368
2018-02-26,4787.1952,-3670,-4586.0,0.33647760604476207,0,0,0.016448640564401318,0.0,0.9284671150047077,0.9980466281084368
2018-02-27,4752.8944,-4010,-4158.4,0.6095495101343148,0,0,-0.007165114136143846,-0.0,0.9218145421540428,0.9980466281084368
2018-02-28,4739.0741,-4468,-3920.0,0.7595746748148997,0,0,-0.002907765003152707,-0.0,0.91913412208897,0.9980466281084368
2018-03-01,4782.6534,-4452,-4050.4,0.6753256789121562,0,0,0.009195741421304193,0.0,0.9275862418071976,0.9980466281084368
2018-03-02,4751.9418,-4540,-4228.0,0.5616396592709877,0,0,-0.006421456340532705,-0.0,0.9216297872533539,0.9980466281084368
2018-03-05,4761.8948,-4734,-4440.8,0.42680276896762614,0,0,0.002094512184471764,0.0,0.9235601520723281,0.9980466281084368
2018-03-06,4816.918,-5354,-4709.6,0.25695146889213477,0,0,0.011554896172842666,0.0,0.9342317937388986,0.9980466281084368
2018-03-07,4781.9626,-4766,-4769.2,0.2194174899057389,0,0,-0.007256797811380555,-0.0,0.927452262502772,0.9980466281084368
2018-03-08,4822.6829,-4536,-4786.0,0.2090389383479231,0,0,0.008515394913377161,0.0,0.9353498847812882,0.9980466281084368
2018-03-09,4876.4599,-3876,-4653.2,0.29387583107376325,0,0,0.011150847176786272,0.0,0.945779828403309,0.9980466281084368
2018-03-12,4923.4298,-3282,-4362.8,0.4788518403559748,0,0,0.009631966829051652,0.0,0.9548895483380758,0.9980466281084368
2018-03-13,4889.9246,-2528,-3797.6,0.8364693784123529,0,0,-0.006805255962012424,-0.0,0.9483912805461848,0.9980466281084368
2018-03-14,4854.0015,-2450,-3334.4,1.124783501716252,1,0,-0.007346350493829701,-0.0,0.9414240657940006,0.9980466281084368
2018-03-15,4860.068,-2876,-3002.4,1.3246786454382344,1,1,0.001249793598127269,-0.0003,0.9426006515645529,0.9977472141200043
2018-03-16,4828.5021,-4226,-3072.4,1.266644204068564,1,1,-0.0064949502764160005,-0.0064949502764160005,0.9364785072021238,0.9912668955758623
2018-03-19,4843.587,-4228,-3261.6,1.13347274559683,1,1,0.0031241365722924908,0.0031241365722924908,0.9394041939556398,0.9943637487372338
2018-03-20,4851.732,-4882,-3732.4,0.8288344527739949,0,1,0.0016816049758163754,0.0016816049758163754,0.9409839007224984,0.9960358757648817
2018-03-21,4825.0029,-5780,-4398.4,0.4083110871743075,0,0,-0.005509187234579271,-0.005809187234579271,0.9357998442286933,0.9902497168702055
2018-03-22,4796.0952,-5922,-5007.6,0.025309769658914974,0,0,-0.0059912295596756815,-0.0,0.9301932525400105,0.9902497168702055
2018-03-23,4604.898,-5906,-5343.6,-0.18497828364081548,0,0,-0.039865180324193616,-0.0,0.8931109307911548,0.9902497168702055
2018-03-26,4627.5583,-5886,-5675.2,-0.3893343945834992,0,0,0.004920912471893857,0.0,0.8975058515092696,0.9902497168702055
2018-03-27,4703.1006,-5006,-5700.0,-0.40108258079384196,0,0,0.01632444047220316,0.0,0.9121571323556867,0.9902497168702055
2018-03-28,4643.248,-5830,-5710.0,-0.40301234408047903,0,0,-0.012726200243303398,-0.0,0.9005488380359709,0.9902497168702055
2018-03-29,4693.3021,-5954,-5716.4,-0.4023014948791646,0,0,0.010779975568826039,0.0,0.9102567325085333,0.9902497168702055
2018-03-30,4731.0301,-5610,-5657.2,-0.36120944477488126,0,0,0.008038689859747095,0.0,0.9175740040739162,0.9902497168702055
2018-04-02,4732.8294,-5560,-5592.0,-0.31808736253081715,0,0,0.00038031886544098725,0.0,0.9179229747781037,0.9902497168702055
2018-04-03,4695.6849,-5332,-5657.2,-0.3566166832621527,0,0,-0.007848265141354838,-0.0,0.910718871892704,0.9902497168702055
2018-04-04,4676.6132,-6328,-5756.8,-0.41703680300744406,0,0,-0.00406153743408133,-0.0,0.9070199531025874,0.9902497168702055
2018-04-09,4677.9682,-6320,-5830.0,-0.4612512440288252,0,0,0.00028973959189104725,0.0,0.9072827526936365,0.9902497168702055
2018-04-10,4728.0297,-5934,-5894.8,-0.5007456575197982,0,0,0.010701547736044814,0.0,0.9169920823816775,0.9902497168702055
2018-04-11,4747.4684,-5994,-5981.6,-0.5535442182544734,0,0,0.0041113743426779426,0.0,0.9207621801016204,0.9902497168702055
2018-04-12,4711.4805,-5300,-5975.2,-0.5482432841554135,0,0,-0.007580440135209754,-0.0,0.9137823975165948,0.9902497168702055
2018-04-13,4688.6227,-5332,-5776.0,-0.42370021761724175,0,0,-0.004851511112059059,-0.0,0.9093491720610392,0.9902497168702055
2018-04-16,4643.9193,-5152,-5542.4,-0.2803417633002956,0,0,-0.009534441745547184,-0.0,0.9006790353536616,0.9902497168702055
2018-04-17,4558.2226,-5350,-5425.6,-0.20989519664624462,0,0,-0.018453529112790412,-0.0,0.8840583285534828,0.9902497168702055
2018-04-18,4598.0602,-6716,-5570.0,-0.29976852056905234,0,0,0.008739722364589975,0.0,0.8917847528991437,0.9902497168702055
2018-04-19,4634.6593,-6148,-5739.6,-0.4052108095025862,0,0,0.007959682650523048,0.0,0.898883076524796,0.9902497168702055
